venue,year,identifier,heading,title,authors,page_range,length,electronic_edition,comment
icml,2024,conf/icml/icml2024,,Position: On the Societal Impact of Open Foundation Models.,Sayash Kapoor; Rishi Bommasani; Kevin Klyman; Shayne Longpre; Ashwin Ramaswami; Peter Cihon; Aspen K. Hopkins; Kevin Bankston; Stella Biderman; Miranda Bogen; Rumman Chowdhury; Alex Engler; Peter Henderson; Yacine Jernite; Seth Lazar; Stefano Maffulli; Alondra Nelson; Joelle Pineau; Aviya Skowron; Dawn Song; Victor Storchan; Daniel Zhang; Daniel E. Ho; Percy Liang; Arvind Narayanan,,0,https://openreview.net/forum?id=jRX6yCxFhx,
icml,2024,conf/icml/icml2024,,DITTO: Diffusion Inference-Time T-Optimization for Music Generation.,Zachary Novack; Julian J. McAuley; Taylor Berg-Kirkpatrick; Nicholas J. Bryan,,0,https://openreview.net/forum?id=z5Ux2u6t7U,
icml,2024,conf/icml/icml2024,,Parameterized Physics-informed Neural Networks for Parameterized PDEs.,Woojin Cho; Minju Jo; Haksoo Lim; Kookjin Lee; Dongeun Lee; Sanghyun Hong; Noseong Park,,0,https://openreview.net/forum?id=n3yYrtt9U7,
icml,2024,conf/icml/icml2024,,Position: Rethinking Post-Hoc Search-Based Neural Approaches for Solving Large-Scale Traveling Salesman Problems.,Yifan Xia; Xianliang Yang; Zichuan Liu; Zhihao Liu; Lei Song; Jiang Bian,,0,https://openreview.net/forum?id=cEJ9jNJuJP,
icml,2024,conf/icml/icml2024,,Automated Evaluation of Retrieval-Augmented Language Models with Task-Specific Exam Generation.,Gauthier Guinet; Behrooz Omidvar-Tehrani; Anoop Deoras; Laurent Callot,,0,https://openreview.net/forum?id=4jqOV6NlUz,
icml,2024,conf/icml/icml2024,,PRISE: LLM-Style Sequence Compression for Learning Temporal Action Abstractions in Control.,Ruijie Zheng; Ching-An Cheng; Hal Daumé III; Furong Huang; Andrey Kolobov,,0,https://openreview.net/forum?id=p225Od0aYt,
icml,2024,conf/icml/icml2024,,LCA-on-the-Line: Benchmarking Out of Distribution Generalization with Class Taxonomies.,Jia Shi; Gautam Rajendrakumar Gare; Jinjin Tian; Siqi Chai; Zhiqiu Lin; Arun Balajee Vasudevan; Di Feng; Francesco Ferroni; Shu Kong,,0,https://openreview.net/forum?id=HPXRzM9BYZ,
icml,2024,conf/icml/icml2024,,Active Statistical Inference.,Tijana Zrnic; Emmanuel J. Candès,,0,https://openreview.net/forum?id=GKMcCtWC7H,
icml,2024,conf/icml/icml2024,,Symbolic Music Generation with Non-Differentiable Rule Guided Diffusion.,Yujia Huang; Adishree Ghatare; Yuanzhe Liu; Ziniu Hu; Qinsheng Zhang; Chandramouli Shama Sastry; Siddharth Gururani; Sageev Oore; Yisong Yue,,0,https://openreview.net/forum?id=g8AigOTNXL,
icml,2024,conf/icml/icml2024,,NaturalSpeech 3: Zero-Shot Speech Synthesis with Factorized Codec and Diffusion Models.,Zeqian Ju; Yuancheng Wang; Kai Shen; Xu Tan; Detai Xin; Dongchao Yang; Eric Liu; Yichong Leng; Kaitao Song; Siliang Tang; Zhizheng Wu; Tao Qin; Xiangyang Li; Wei Ye; Shikun Zhang; Jiang Bian; Lei He; Jinyu Li; Sheng Zhao,,0,https://openreview.net/forum?id=dVhrnjZJad,
icml,2024,conf/icml/icml2024,,Privacy Preserving Adaptive Experiment Design.,Jiachun Li; Kaining Shi; David Simchi-Levi,,0,https://openreview.net/forum?id=1QmFKwVwwI,
icml,2024,conf/icml/icml2024,,Position: Do pretrained Transformers Learn In-Context by Gradient Descent?,Lingfeng Shen; Aayush Mishra; Daniel Khashabi,,0,https://openreview.net/forum?id=WsawczEqO6,
icml,2024,conf/icml/icml2024,,Learning to Model the World With Language.,Jessy Lin; Yuqing Du; Olivia Watkins; Danijar Hafner; Pieter Abbeel; Dan Klein; Anca D. Dragan,,0,https://openreview.net/forum?id=7dP6Yq9Uwv,
icml,2024,conf/icml/icml2024,,Position: AI-Powered Autonomous Weapons Risk Geopolitical Instability and Threaten AI Research.,Riley Simmons-Edler; Ryan Paul Badman; Shayne Longpre; Kanaka Rajan,,0,https://openreview.net/forum?id=ZwUThOE7Zc,
icml,2024,conf/icml/icml2024,,Arrows of Time for Large Language Models.,Vassilis Papadopoulos; Jérémie Wenger; Clément Hongler,,0,https://openreview.net/forum?id=UpSe7ag34v,
